Name, MatchCount, Wins, Aces, TotalSpeed, DoubleFault, TotalPoints,
Thierry Ascione, 4, 1, 20, 39.75, 5, 106.0
Thomas Enqvist, 4, 2, 30, 83.375, 8, 111.25
Thomas Johansson, 12, 7, 157, 121.625, 5, 119.16666666666667
Thomaz Bellucci, 10, 4, 98, 49.85, 5, 116.7
Tim Henman, 7, 4, 35, 163.92857142857142, 5, 123.28571428571429
Tim Smyczek, 3, 1, 16, 53.5, 3, 89.66666666666667
Tobias Kamke, 6, 2, 17, 53.833333333333336, 5, 122.33333333333333
Todd Larkham, 1, 0, 2, 156.5, 3, 71.0
Todd Martin, 3, 2, 47, 55.333333333333336, 7, 147.66666666666666
Todd Reid, 4, 2, 17, 149.125, 3, 93.75
Tomas Behrend, 2, 0, 6, 0.0, 5, 71.0
Tomas Berdych, 40, 29, 400, 134.375, 4, 107.225
Tomas Zib, 3, 1, 10, 153.16666666666666, 2, 95.33333333333333
Tommy Haas, 22, 14, 232, 114.70454545454545, 3, 108.86363636363636
Tommy Robredo, 29, 19, 219, 93.58620689655173, 3, 112.79310344827586
Vadim Kutsenko, 1, 0, 2, 152.5, 5, 54.0
Vasek Pospisil, 2, 2, 19, 174.0, 4, 113.0
Victor Hanescu, 15, 4, 84, 56.03333333333333, 2, 108.26666666666667
Viktor Troicki, 11, 5, 145, 44.45454545454545, 3, 110.54545454545455
Vince Spadea, 9, 3, 31, 18.0, 5, 119.22222222222223
Vincent Millot, 3, 1, 25, 53.0, 6, 104.66666666666667
Wayne Arthurs, 7, 3, 151, 72.28571428571429, 8, 121.0
Wayne Ferreira, 3, 2, 16, 99.83333333333333, 1, 111.33333333333333
Wayne Odesnik, 5, 1, 32, 0.0, 5, 117.2
Werner Eschauer, 1, 0, 9, 0.0, 5, 80.0
Wesley Moodie, 3, 1, 47, 60.166666666666664, 6, 127.0
Xavier Malisse, 15, 5, 113, 53.5, 2, 100.86666666666666
Yen-Hsun Lu, 17, 7, 89, 69.17647058823529, 4, 104.76470588235294
Younes El Aynaoui, 1, 0, 3, 163.5, 2, 15.0
Zack Fleishman, 3, 1, 27, 0.0, 8, 140.33333333333334
Ze Zhang, 1, 0, 7, 171.5, 6, 101.0
